STATEFP10,COUNTYFP10,TRACTCE10,id,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geo_id,census_tra,county,estimate,error,year,tract_area,WHPWeigh_1,TOT_POP_19,CNTY_AREA
06,037,500403,6037500403,5004.03,Census Tract,G5020,S,2057389,189585,34.007329,-118.0660305,1400000US06037500403,5004.03,Los Angeles County,4032,332,2017,2246967.831,0.50591068734,10081570,12300987365
06,065,045103,6065045103,451.03,Census Tract,G5020,S,23058405,383371,33.7382362,-116.4469086,1400000US06065045103,451.03,Riverside County,3488,385,2017,23441785.96,1.79317316894,2411439,18914898830
06,065,046404,6065046404,464.04,Census Tract,G5020,S,10645119,0,33.6510929,-117.2771726,1400000US06065046404,464.04,Riverside County,7279,556,2017,10645120.72,1.79317316894,2411439,18914898830
06,065,045108,6065045108,451.08,Census Tract,G5020,S,2683462,0,33.7251292,-116.3737209,1400000US06065045108,451.08,Riverside County,6783,788,2017,2683460.467,1.79317316894,2411439,18914898830
06,037,122122,6037122122,1221.22,Census Tract,G5020,S,1017265,15394,34.2197648,-118.3736105,1400000US06037122122,1221.22,Los Angeles County,2610,293,2017,1032659.449,0.50591068734,10081570,12300987365
06,065,045109,6065045109,451.09,Census Tract,G5020,S,1465211,0,33.6549641,-116.3122385,1400000US06065045109,451.09,Riverside County,3564,353,2017,1465211.288,1.79317316894,2411439,18914898830
06,065,045110,6065045110,451.1,Census Tract,G5020,S,1665164,0,33.6653271,-116.3111037,1400000US06065045110,451.1,Riverside County,5295,632,2017,1665170.163,1.79317316894,2411439,18914898830
06,065,042514,6065042514,425.14,Census Tract,G5020,S,981706,0,33.9336217,-117.2481693,1400000US06065042514,425.14,Riverside County,3216,327,2017,981705.192,1.79317316894,2411439,18914898830
06,065,043807,6065043807,438.07,Census Tract,G5020,S,5130332,0,33.9591434,-116.9737171,1400000US06065043807,438.07,Riverside County,6526,458,2017,5130332.666,1.79317316894,2411439,18914898830
06,065,043900,6065043900,439,Census Tract,G5020,S,2961860,0,33.9397208,-116.9742932,1400000US06065043900,439,Riverside County,6580,446,2017,2961851.015,1.79317316894,2411439,18914898830
06,037,137301,6037137301,1373.01,Census Tract,G5020,S,1601322,8359,34.176253,-118.6340417,1400000US06037137301,1373.01,Los Angeles County,2344,160,2017,1609680.419,0.50591068734,10081570,12300987365
06,065,045215,6065045215,452.15,Census Tract,G5020,S,5631368,390369,33.719326,-116.2834051,1400000US06065045215,452.15,Riverside County,10346,817,2017,6021733.655,1.79317316894,2411439,18914898830
06,065,045216,6065045216,452.16,Census Tract,G5020,S,3728121,0,33.7486002,-116.2433518,1400000US06065045216,452.16,Riverside County,2233,216,2017,3728115.465,1.79317316894,2411439,18914898830
06,065,045224,6065045224,452.24,Census Tract,G5020,S,4892201,0,33.6963102,-116.2578731,1400000US06065045224,452.24,Riverside County,5645,608,2017,4892202.147,1.79317316894,2411439,18914898830
06,065,045226,6065045226,452.26,Census Tract,G5020,S,2668768,0,33.6929269,-116.2077696,1400000US06065045226,452.26,Riverside County,7215,907,2017,2668770.403,1.79317316894,2411439,18914898830
06,065,042738,6065042738,427.38,Census Tract,G5020,S,4991266,138328,33.6779397,-117.1519414,1400000US06065042738,427.38,Riverside County,7463,399,2017,5129594.949,1.79317316894,2411439,18914898830
06,065,042739,6065042739,427.39,Census Tract,G5020,S,9995611,116671,33.6550902,-117.1551086,1400000US06065042739,427.39,Riverside County,8088,510,2017,10112284.2,1.79317316894,2411439,18914898830
06,037,137302,6037137302,1373.02,Census Tract,G5020,S,2446886,0,34.177348,-118.6541956,1400000US06037137302,1373.02,Los Angeles County,4493,249,2017,2446887.32,0.50591068734,10081570,12300987365
06,037,137401,6037137401,1374.01,Census Tract,G5020,S,2377598,0,34.1591455,-118.6108388,1400000US06037137401,1374.01,Los Angeles County,4346,328,2017,2377597.574,0.50591068734,10081570,12300987365
06,037,141400,6037141400,1414,Census Tract,G5020,S,1997409,0,34.1574858,-118.4760694,1400000US06037141400,1414,Los Angeles County,4871,345,2017,1997405.064,0.50591068734,10081570,12300987365
06,085,503325,6085503325,5033.25,Census Tract,G5020,S,1138412,0,37.3206767,-121.7888418,1400000US06085503325,5033.25,Santa Clara County,4727,319,2017,1138410.395,0.68184781761,1927470,3377488367
06,059,042313,6059042313,423.13,Census Tract,G5020,S,2388332,1916404,33.4622587,-117.6973164,1400000US06059042313,423.13,Orange County,7492,452,2017,4304746.618,0.44501508878,3168044,2459757019
06,037,400205,6037400205,4002.05,Census Tract,G5020,S,23306581,343825,34.1521556,-117.7176795,1400000US06037400205,4002.05,Los Angeles County,2976,249,2017,23650334.91,0.50591068734,10081570,12300987365
06,037,143901,6037143901,1439.01,Census Tract,G5020,S,5281922,11638,34.1321312,-118.4000525,1400000US06037143901,1439.01,Los Angeles County,4146,312,2017,5293560.936,0.50591068734,10081570,12300987365
06,037,139802,6037139802,1398.02,Census Tract,G5020,S,6076219,0,34.1428645,-118.5563557,1400000US06037139802,1398.02,Los Angeles County,4120,444,2017,6076214.667,0.50591068734,10081570,12300987365
