STATEFP10,COUNTYFP10,TRACTCE10,id,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geo_id,census_tra,county,estimate,error,year,tract_area,WHPWeigh_1,TOT_POP_19,CNTY_AREA
6,37,500403,6037500403,5004.03,Census Tract,G5020,S,2057389,189585,34.007329,-118.0660305,1400000US06037500403,5004.03,Los Angeles County,3464,3464,2020,2246967.831,0.505910687,10081570,12300987365
6,65,45103,6065045103,451.03,Census Tract,G5020,S,23058405,383371,33.7382362,-116.4469086,1400000US06065045103,451.03,Riverside County,3493,3493,2020,23441785.96,1.793173169,2411439,18914898830
6,65,46404,6065046404,464.04,Census Tract,G5020,S,10645119,0,33.6510929,-117.2771726,1400000US06065046404,464.04,Riverside County,5866,5866,2020,10645120.72,1.793173169,2411439,18914898830
6,65,45108,6065045108,451.08,Census Tract,G5020,S,2683462,0,33.7251292,-116.3737209,1400000US06065045108,451.08,Riverside County,NA,NA,2020,2683460.467,1.793173169,2411439,18914898830
6,37,122122,6037122122,1221.22,Census Tract,G5020,S,1017265,15394,34.2197648,-118.3736105,1400000US06037122122,1221.22,Los Angeles County,2644,2644,2020,1032659.449,0.505910687,10081570,12300987365
6,65,45109,6065045109,451.09,Census Tract,G5020,S,1465211,0,33.6549641,-116.3122385,1400000US06065045109,451.09,Riverside County,4766,4766,2020,1465211.288,1.793173169,2411439,18914898830
6,65,45110,6065045110,451.1,Census Tract,G5020,S,1665164,0,33.6653271,-116.3111037,1400000US06065045110,451.1,Riverside County,5616,5616,2020,1665170.163,1.793173169,2411439,18914898830
6,65,42514,6065042514,425.14,Census Tract,G5020,S,981706,0,33.9336217,-117.2481693,1400000US06065042514,425.14,Riverside County,3489,3489,2020,981705.192,1.793173169,2411439,18914898830
6,65,43807,6065043807,438.07,Census Tract,G5020,S,5130332,0,33.9591434,-116.9737171,1400000US06065043807,438.07,Riverside County,7132,7132,2020,5130332.666,1.793173169,2411439,18914898830
6,65,43900,6065043900,439,Census Tract,G5020,S,2961860,0,33.9397208,-116.9742932,1400000US06065043900,439,Riverside County,6374,6374,2020,2961851.015,1.793173169,2411439,18914898830
6,37,137301,6037137301,1373.01,Census Tract,G5020,S,1601322,8359,34.176253,-118.6340417,1400000US06037137301,1373.01,Los Angeles County,2314,2314,2020,1609680.419,0.505910687,10081570,12300987365
6,65,45215,6065045215,452.15,Census Tract,G5020,S,5631368,390369,33.719326,-116.2834051,1400000US06065045215,452.15,Riverside County,NA,NA,2020,6021733.655,1.793173169,2411439,18914898830
6,65,45216,6065045216,452.16,Census Tract,G5020,S,3728121,0,33.7486002,-116.2433518,1400000US06065045216,452.16,Riverside County,2587,2587,2020,3728115.465,1.793173169,2411439,18914898830
6,65,45224,6065045224,452.24,Census Tract,G5020,S,4892201,0,33.6963102,-116.2578731,1400000US06065045224,452.24,Riverside County,6314,6314,2020,4892202.147,1.793173169,2411439,18914898830
6,65,45226,6065045226,452.26,Census Tract,G5020,S,2668768,0,33.6929269,-116.2077696,1400000US06065045226,452.26,Riverside County,8293,8293,2020,2668770.403,1.793173169,2411439,18914898830
6,65,42738,6065042738,427.38,Census Tract,G5020,S,4991266,138328,33.6779397,-117.1519414,1400000US06065042738,427.38,Riverside County,8508,8508,2020,5129594.949,1.793173169,2411439,18914898830
6,65,42739,6065042739,427.39,Census Tract,G5020,S,9995611,116671,33.6550902,-117.1551086,1400000US06065042739,427.39,Riverside County,6906,6906,2020,10112284.2,1.793173169,2411439,18914898830
6,37,137302,6037137302,1373.02,Census Tract,G5020,S,2446886,0,34.177348,-118.6541956,1400000US06037137302,1373.02,Los Angeles County,4392,4392,2020,2446887.32,0.505910687,10081570,12300987365
6,37,137401,6037137401,1374.01,Census Tract,G5020,S,2377598,0,34.1591455,-118.6108388,1400000US06037137401,1374.01,Los Angeles County,4091,4091,2020,2377597.574,0.505910687,10081570,12300987365
6,37,141400,6037141400,1414,Census Tract,G5020,S,1997409,0,34.1574858,-118.4760694,1400000US06037141400,1414,Los Angeles County,5366,5366,2020,1997405.064,0.505910687,10081570,12300987365
6,85,503325,6085503325,5033.25,Census Tract,G5020,S,1138412,0,37.3206767,-121.7888418,1400000US06085503325,5033.25,Santa Clara County,4625,4625,2020,1138410.395,0.681847818,1927470,3377488367
6,59,42313,6059042313,423.13,Census Tract,G5020,S,2388332,1916404,33.4622587,-117.6973164,1400000US06059042313,423.13,Orange County,6020,6020,2020,4304746.618,0.445015089,3168044,2459757019
6,37,400205,6037400205,4002.05,Census Tract,G5020,S,23306581,343825,34.1521556,-117.7176795,1400000US06037400205,4002.05,Los Angeles County,2536,2536,2020,23650334.91,0.505910687,10081570,12300987365
